Ticket_ID,Date_Logged,Customer_ID,Subject,Message_Body,Clean_Ticket,Complaint_Category
T000024,2023-11-24,C0158,Can't connect the app,"The app cannot connect to the lock.
I tried resetting but it fails.
Please advise.

<br><br>--<br>NordTech Customer

Ref: TX-100596",The app cannot connect to the lock. I tried resetting but it fails. Please advise. --NordTech Customer Ref: TX-100596,Kvalitātes problēmas
T000129,2023-12-08,C0016,NordLock Pro pairing issue,"<p>The app cannot connect to WiFi.
I tried resetting but it fails.
Please advise.

Sent from my Android device</p><br><p>This is unacceptable.</p>

My order #100830.",The app cannot connect to WiFi. I tried resetting but it fails. Please advise. Sent from my Android deviceThis is unacceptable. My order #100830.,Kvalitātes problēmas
T000096,2023-12-03,C0276,Where is my order?,"<p>My delivery is stuck.
Tracking shows no updates.
Please update me.
Also: delivery late.

Sent from my Android device</p>

My order #101147.",My delivery is stuck. Tracking shows no updates. Please update me. Also: delivery late. Sent from my Android device My order #101147.,Piegādes jautājumi
T000076,2023-12-01,C0044,NordLock Pro pairing issue,"The app will not connect to WiFi.
I tried reinstalling the app but it fails.
It worked once and then stopped.
Also: bluetooth.

<br><br>--<br>NordTech Customer

My order #101028.",The app will not connect to WiFi. I tried reinstalling the app but it fails. It worked once and then stopped. Also: bluetooth. --NordTech Customer My order #101028.,Kvalitātes problēmas
T000013,2023-11-23,C0073,Product defective,"<p>The product is not working.
Poor quality.
I want a replacement.
Also: doesn't work.

—
Regards,
A very unhappy customer</p>","The product is not working. Poor quality. I want a replacement. Also: doesn't work. — Regards, A very unhappy customer",Citi jautājumi
T000172,2023-12-10,C0042,Locked out of my home,"I am locked out — the lock does not respond.<br>The app shows offline.<br>I can't get into my house.<br><br>Sent from my Android device

Order number: 100512",I am locked out — the lock does not respond.The app shows offline.I can't get into my house.Sent from my Android device Order number: 100512,Piegādes jautājumi
T000009,2023-11-21,C0057,Refund for my purchase,"<p>I want to return this product.
It is not working.
How do I start an RMA?
Also: want a refund.

Sent from my Android device</p>",I want to return this product. It is not working. How do I start an RMA? Also: want a refund. Sent from my Android device,Naudas atgriešana
T000136,2023-12-08,C0078,Can't open the door,"I am stuck outside — the lock will not unlock.<br>The app shows not responding.<br>I can't get into my house.<br><br><br><br>--<br>NordTech Customer

Order number: 100417",I am stuck outside — the lock will not unlock.The app shows not responding.I can't get into my house.--NordTech Customer Order number: 100417,Piegādes jautājumi
T000014,2023-11-23,C0013,Where is my order?,"My delivery is delayed.
Tracking shows no updates.
This is taking too long.
Also: courier.

Sent from my Android device",My delivery is delayed. Tracking shows no updates. This is taking too long. Also: courier. Sent from my Android device,Piegādes jautājumi
T000200,2023-12-12,C0042,Battery dies in 2 days,"My NordLock Pro dies in a day.
I changed batteries and it still dies.
This is unacceptable.

<br><br>--<br>NordTech Customer

Order number: 100512",My NordLock Pro dies in a day. I changed batteries and it still dies. This is unacceptable. --NordTech Customer Order number: 100512,Piegādes jautājumi
T000087,2023-12-03,C0057,Product defective,"The product is broken.<br>Poor quality.<br>What are my options?<br><br><br><br>--<br>NordTech Customer

My order #100506.",The product is broken.Poor quality.What are my options?--NordTech Customer My order #100506.,Kvalitātes problēmas
T000238,2023-12-15,C0054,App cannot connect to WiFi,"The app cannot connect to WiFi.
I tried resetting but it fails.
Please advise.

Sent from my Android device

Ref: TX-100846",The app cannot connect to WiFi. I tried resetting but it fails. Please advise. Sent from my Android device Ref: TX-100846,Kvalitātes problēmas
T000211,2023-12-13,C0151,Tracking shows no updates,"My delivery is delayed.<br>Tracking shows pending.<br>Where is my order?<br><br>Sent from my Android device

My order #100936.",My delivery is delayed.Tracking shows pending.Where is my order?Sent from my Android device My order #100936.,Piegādes jautājumi
T000145,2023-12-09,C0117,NordLock Pro battery drains fast,"My NordLock Pro dies in 48 hours.<br>I changed batteries and it still drains quickly.<br>I can't rely on this.<br><br>Sent from my iPhone

Order number: 100455",My NordLock Pro dies in 48 hours.I changed batteries and it still drains quickly.I can't rely on this.Sent from my iPhone Order number: 100455,Piegādes jautājumi
T000164,2023-12-10,C0058,NordLock Pro battery drains fast,"My NordLock Pro dies in 2 days.
I tried new batteries and it still dies.
I can't rely on this.

Sent from my Android device

Order number: 100774",My NordLock Pro dies in 2 days. I tried new batteries and it still dies. I can't rely on this. Sent from my Android device Order number: 100774,Piegādes jautājumi
T000118,2023-12-06,C0017,Delivery delay,My delivery is stuck.<br>Tracking shows no updates.<br>Where is my order?<br>Also: tracking.<br><br><br><br>--<br>NordTech Customer,My delivery is stuck.Tracking shows no updates.Where is my order?Also: tracking.--NordTech Customer,Piegādes jautājumi
T000315,2023-12-20,C0004,Delivery delay,"<p>My delivery is late.
Tracking shows in transit for days.
Where is my order?

<br><br>--<br>NordTech Customer</p>",My delivery is late. Tracking shows in transit for days. Where is my order? --NordTech Customer,Piegādes jautājumi
T000328,2023-12-21,C0117,App cannot connect to WiFi,"<p>The app will not connect to WiFi.
I tried pairing again but it fails.
Please advise.

Sent from my Android device</p>

Ref: TX-100455",The app will not connect to WiFi. I tried pairing again but it fails. Please advise. Sent from my Android device Ref: TX-100455,Kvalitātes problēmas
T000280,2023-12-18,C0200,Return request,"I want to get a refund for this product.<br>It is defective.<br>Please send return instructions.<br><br><br><br>--<br>NordTech Customer

Ref: TX-100470",I want to get a refund for this product.It is defective.Please send return instructions.--NordTech Customer Ref: TX-100470,Naudas atgriešana
T000050,2023-11-28,C0169,Where is my order?,"<p>My delivery is stuck.
Tracking shows pending.
This is taking too long.
Also: tracking.

<br><br>--<br>NordTech Customer</p><br><p>ASAP</p>

Ref: TX-100395",My delivery is stuck. Tracking shows pending. This is taking too long. Also: tracking. --NordTech CustomerASAP Ref: TX-100395,Piegādes jautājumi
T000061,2023-11-29,C0073,Return request,"<p>I want to get a refund for this product.
It is not as described.
Please send return instructions.

<p>Thanks</p><p>Customer</p></p>

My order #100381.",I want to get a refund for this product. It is not as described. Please send return instructions. ThanksCustomer My order #100381.,Naudas atgriešana
T000138,2023-12-08,C0112,Locked out of my home,"I am locked out — the lock does not respond.<br>The app shows offline.<br>This is urgent.<br><br>Sent from my Android device

My order #100786.",I am locked out — the lock does not respond.The app shows offline.This is urgent.Sent from my Android device My order #100786.,Piegādes jautājumi
T000002,2023-11-20,C0242,Refund for my purchase,"I want to return this product.
It is defective.
Please send return instructions.
Also: want a refund.

<p>Thanks</p><p>Customer</p>",I want to return this product. It is defective. Please send return instructions. Also: want a refund. ThanksCustomer,Naudas atgriešana
T000049,2023-11-28,C0097,Tracking shows no updates,"<p>My delivery is delayed.
Tracking shows in transit for days.
Please update me.

<br><br>--<br>NordTech Customer</p>

My order #100743.",My delivery is delayed. Tracking shows in transit for days. Please update me. --NordTech Customer My order #100743.,Piegādes jautājumi
T000303,2023-12-19,C0085,Battery problem with my lock,"<p>My NordLock Pro battery drains in a day.
I changed batteries and it still dies.
This is unacceptable.
Also: battery life.

Sent from my iPhone</p>",My NordLock Pro battery drains in a day. I changed batteries and it still dies. This is unacceptable. Also: battery life. Sent from my iPhone,Citi jautājumi
T000271,2023-12-17,C0282,Product defective,"<p>The product is defective.
Very disappointed.
I want a replacement.
Also: defective.

Sent from my Android device</p>

My order #100815.",The product is defective. Very disappointed. I want a replacement. Also: defective. Sent from my Android device My order #100815.,Piegādes jautājumi
T000294,2023-12-19,C0218,Refund for my purchase,I want to get a refund for this product.<br>It is not as described.<br>I need my money back.<br><br><p>Thanks</p><p>Customer</p>,I want to get a refund for this product.It is not as described.I need my money back.ThanksCustomer,Naudas atgriešana
T000161,2023-12-10,C0059,NordLock Pro battery drains fast,"<p>My smart lock dies in 2 days.
I changed batteries and it still drains quickly.
Please help ASAP.
Also: battery dies.

<br><br>--<br>NordTech Customer</p><br><p>Please help!</p>

My order #100686.",My smart lock dies in 2 days. I changed batteries and it still drains quickly. Please help ASAP. Also: battery dies. --NordTech CustomerPlease help! My order #100686.,Piegādes jautājumi
T000055,2023-11-28,C0026,Product defective,"The product is not working.
This should not happen.
Please help.

Sent from my iPhone

My order #100392.",The product is not working. This should not happen. Please help. Sent from my iPhone My order #100392.,Piegādes jautājumi
T000330,2023-12-21,C0001,Battery dies in 2 days,"<p>My NordLock Pro battery drains in 48 hours.
I changed batteries and it still drains quickly.
This is unacceptable.

—
Regards,
A very unhappy customer</p><br><p>ASAP</p>","My NordLock Pro battery drains in 48 hours. I changed batteries and it still drains quickly. This is unacceptable. — Regards, A very unhappy customerASAP",Citi jautājumi
T000011,2023-11-22,C0073,NordLock Pro won't unlock,"<p>I am stuck outside — the lock will not unlock.
The app shows offline.
I need immediate assistance.

Sent from my iPhone</p>

My order #100220.",I am stuck outside — the lock will not unlock. The app shows offline. I need immediate assistance. Sent from my iPhone My order #100220.,Piegādes jautājumi
T000062,2023-11-29,C0085,Product defective,"<p>The product is defective.
Very disappointed.
Please help.
Also: doesn't work.

Sent from my Android device</p><br><p>Please help!</p>

My order #100721.",The product is defective. Very disappointed. Please help. Also: doesn't work. Sent from my Android devicePlease help! My order #100721.,Piegādes jautājumi
T000262,2023-12-17,C0122,Refund for my purchase,"<p>I want to get a refund for this product.
It is not as described.
How do I start an RMA?

Sent from my Android device</p>

Order number: 100503",I want to get a refund for this product. It is not as described. How do I start an RMA? Sent from my Android device Order number: 100503,Naudas atgriešana
T000025,2023-11-24,C0223,Not working as expected,"The product is broken.<br>Poor quality.<br>I want a replacement.<br>Also: poor quality.<br><br>Sent from my iPhone

Ref: TX-100682",The product is broken.Poor quality.I want a replacement.Also: poor quality.Sent from my iPhone Ref: TX-100682,Kvalitātes problēmas
T000016,2023-11-24,C0013,Delivery delay,"My delivery is stuck.
Tracking shows pending.
This is taking too long.

—
Regards,
A very unhappy customer

Ref: TX-100257","My delivery is stuck. Tracking shows pending. This is taking too long. — Regards, A very unhappy customer Ref: TX-100257",Piegādes jautājumi
T000142,2023-12-08,C0102,I want a refund,"I want to get a refund for this product.<br>It is not as described.<br>I need my money back.<br><br><p>Thanks</p><p>Customer</p>

My order #100866.",I want to get a refund for this product.It is not as described.I need my money back.ThanksCustomer My order #100866.,Naudas atgriešana
T000312,2023-12-20,C0257,NordLock Pro battery drains fast,"<p>My NordLock Pro battery drains in 48 hours.
I changed batteries and it still drains quickly.
Please help ASAP.
Also: 2 days.

Sent from my iPhone</p>

Ref: TX-100640",My NordLock Pro battery drains in 48 hours. I changed batteries and it still drains quickly. Please help ASAP. Also: 2 days. Sent from my iPhone Ref: TX-100640,Citi jautājumi
T000067,2023-11-29,C0137,Where is my order?,"My delivery is late.<br>Tracking shows in transit for days.<br>Where is my order?<br><br>Sent from my iPhone

Ref: TX-100484",My delivery is late.Tracking shows in transit for days.Where is my order?Sent from my iPhone Ref: TX-100484,Piegādes jautājumi
T000298,2023-12-19,C0294,Battery dies in 2 days,"My smart lock dies in 48 hours.<br>I changed batteries and it still dies.<br>I can't rely on this.<br><br>—<br>Regards,<br>A very unhappy customer","My smart lock dies in 48 hours.I changed batteries and it still dies.I can't rely on this.—Regards,A very unhappy customer",Citi jautājumi
T000281,2023-12-18,C0237,Battery dies in 2 days,"My NordLock Pro dies in 2 days.
I tried new batteries and it still dies.
Please help ASAP.

<br><br>--<br>NordTech Customer

My order #100383.",My NordLock Pro dies in 2 days. I tried new batteries and it still dies. Please help ASAP. --NordTech Customer My order #100383.,Piegādes jautājumi
T000093,2023-12-03,C0048,Tracking shows no updates,"My delivery is late.<br>Tracking shows no updates.<br>Please update me.<br>Also: delivery late.<br><br>—<br>Regards,<br>A very unhappy customer","My delivery is late.Tracking shows no updates.Please update me.Also: delivery late.—Regards,A very unhappy customer",Piegādes jautājumi
T000133,2023-12-08,C0062,NordLock Pro pairing issue,"<p>The app will not connect to WiFi.
I tried reinstalling the app but it fails.
Is there a fix?

<p>Thanks</p><p>Customer</p></p>

My order #100927.",The app will not connect to WiFi. I tried reinstalling the app but it fails. Is there a fix? ThanksCustomer My order #100927.,Kvalitātes problēmas
T000282,2023-12-18,C0085,Battery dies in 2 days,My smart lock battery drains in a day.<br>I tried new batteries and it still dies.<br>I can't rely on this.<br>Also: battery dies.<br><br>Sent from my iPhone,My smart lock battery drains in a day.I tried new batteries and it still dies.I can't rely on this.Also: battery dies.Sent from my iPhone,Citi jautājumi
T000114,2023-12-06,C0312,Battery problem with my lock,"My NordLock Pro dies in 48 hours.<br>I changed batteries and it still dies.<br>I can't rely on this.<br><br>Sent from my iPhone

Order number: 100252",My NordLock Pro dies in 48 hours.I changed batteries and it still dies.I can't rely on this.Sent from my iPhone Order number: 100252,Piegādes jautājumi
T000212,2023-12-13,C0199,Can't connect the app,"The app cannot connect to the lock.
I tried pairing again but it fails.
It worked once and then stopped.

—
Regards,
A very unhappy customer

My order #100140.","The app cannot connect to the lock. I tried pairing again but it fails. It worked once and then stopped. — Regards, A very unhappy customer My order #100140.",Kvalitātes problēmas
T000038,2023-11-26,C0010,Tracking shows no updates,"<p>My delivery is stuck.
Tracking shows no updates.
Where is my order?

Sent from my Android device</p>

Order number: 100261",My delivery is stuck. Tracking shows no updates. Where is my order? Sent from my Android device Order number: 100261,Piegādes jautājumi
T000327,2023-12-21,C0122,Tracking shows no updates,"My delivery is stuck.
Tracking shows no updates.
Where is my order?

—
Regards,
A very unhappy customer

My order #100503.","My delivery is stuck. Tracking shows no updates. Where is my order? — Regards, A very unhappy customer My order #100503.",Piegādes jautājumi
T000224,2023-12-14,C0022,Battery problem with my lock,"My NordLock Pro dies in 48 hours.<br>I changed batteries and it still drains quickly.<br>This is unacceptable.<br>Also: dead battery.<br><br>—<br>Regards,<br>A very unhappy customer

My order #100923.","My NordLock Pro dies in 48 hours.I changed batteries and it still drains quickly.This is unacceptable.Also: dead battery.—Regards,A very unhappy customer My order #100923.",Piegādes jautājumi
T000173,2023-12-10,C0218,App cannot connect to WiFi,"<p>The app cannot connect to WiFi.
I tried pairing again but it fails.
Please advise.

<p>Thanks</p><p>Customer</p></p>

Order number: 101105",The app cannot connect to WiFi. I tried pairing again but it fails. Please advise. ThanksCustomer Order number: 101105,Kvalitātes problēmas
T000159,2023-12-09,C0176,Very disappointed,"<p>The product is not working.
This should not happen.
I want a replacement.

Sent from my Android device</p>

My order #100597.",The product is not working. This should not happen. I want a replacement. Sent from my Android device My order #100597.,Piegādes jautājumi
T000014,2023-11-23,C0013,Where is my order?,"My delivery is delayed.
Tracking shows no updates.
This is taking too long.
Also: courier.

Sent from my Android device",My delivery is delayed. Tracking shows no updates. This is taking too long. Also: courier. Sent from my Android device,Piegādes jautājumi
T000174,2023-12-10,C0199,Battery problem with my lock,"My NordLock Pro battery drains in 48 hours.
I tried new batteries and it still dies.
I can't rely on this.

Sent from my Android device

My order #100140.",My NordLock Pro battery drains in 48 hours. I tried new batteries and it still dies. I can't rely on this. Sent from my Android device My order #100140.,Piegādes jautājumi
T000121,2023-12-07,C0013,Tracking shows no updates,"<p>My delivery is stuck.
Tracking shows no updates.
Please update me.
Also: where is my order.

<br><br>--<br>NordTech Customer</p><br><p>This is unacceptable.</p>

Order number: 100829",My delivery is stuck. Tracking shows no updates. Please update me. Also: where is my order. --NordTech CustomerThis is unacceptable. Order number: 100829,Piegādes jautājumi
T000143,2023-12-08,C0066,NordLock Pro won't unlock,"<p>I am locked out — the lock will not unlock.
The app shows offline.
This is urgent.

<p>Thanks</p><p>Customer</p></p><br><p>ASAP</p>

My order #100663.",I am locked out — the lock will not unlock. The app shows offline. This is urgent. ThanksCustomerASAP My order #100663.,Piegādes jautājumi
T000300,2023-12-19,C0160,Product defective,"<p>The product is not working.
This should not happen.
I want a replacement.

Sent from my Android device</p>

My order #100305.",The product is not working. This should not happen. I want a replacement. Sent from my Android device My order #100305.,Piegādes jautājumi
T000169,2023-12-10,C0025,Can't open the door,"I am stuck outside — the lock does not respond.<br>The app shows not responding.<br>I can't get into my house.<br><br>Sent from my Android device

My order #100523.",I am stuck outside — the lock does not respond.The app shows not responding.I can't get into my house.Sent from my Android device My order #100523.,Piegādes jautājumi
T000099,2023-12-04,C0225,Not working as expected,"The product is not working.
This should not happen.
Please help.

Sent from my Android device",The product is not working. This should not happen. Please help. Sent from my Android device,Citi jautājumi
T000091,2023-12-03,C0224,Locked out of my home,"<p>I am locked out — the lock will not unlock.
The app shows not responding.
I need immediate assistance.
Also: can't unlock.

Sent from my Android device</p>

My order #101157.",I am locked out — the lock will not unlock. The app shows not responding. I need immediate assistance. Also: can't unlock. Sent from my Android device My order #101157.,Piegādes jautājumi
T000308,2023-12-19,C0054,Not working as expected,"The product is broken.<br>This should not happen.<br>I want a replacement.<br><br>—<br>Regards,<br>A very unhappy customer

My order #100846.","The product is broken.This should not happen.I want a replacement.—Regards,A very unhappy customer My order #100846.",Kvalitātes problēmas
T000217,2023-12-13,C0081,App cannot connect to WiFi,"The app cannot connect to the lock.
I tried reinstalling the app but it fails.
Please advise.

—
Regards,
A very unhappy customer

Order number: 100162","The app cannot connect to the lock. I tried reinstalling the app but it fails. Please advise. — Regards, A very unhappy customer Order number: 100162",Kvalitātes problēmas
T000097,2023-12-04,C0005,Return request,"I want to get a refund for this product.
It is not as described.
Please send return instructions.
Also: refund.

<p>Thanks</p><p>Customer</p>

My order #100643.",I want to get a refund for this product. It is not as described. Please send return instructions. Also: refund. ThanksCustomer My order #100643.,Naudas atgriešana
T000258,2023-12-16,C0030,Very disappointed,"The product is not working.
Poor quality.
What are my options?
Also: poor quality.

—
Regards,
A very unhappy customer

Order number: 101094","The product is not working. Poor quality. What are my options? Also: poor quality. — Regards, A very unhappy customer Order number: 101094",Piegādes jautājumi
T000148,2023-12-09,C0301,App cannot connect to WiFi,"The app cannot connect to the lock.<br>I tried reinstalling the app but it fails.<br>It worked once and then stopped.<br><br>Sent from my Android device

Ref: TX-100644",The app cannot connect to the lock.I tried reinstalling the app but it fails.It worked once and then stopped.Sent from my Android device Ref: TX-100644,Kvalitātes problēmas
T000325,2023-12-20,C0198,Tracking shows no updates,"<p>My delivery is stuck.
Tracking shows in transit for days.
Please update me.
Also: courier.

Sent from my iPhone</p>",My delivery is stuck. Tracking shows in transit for days. Please update me. Also: courier. Sent from my iPhone,Piegādes jautājumi
T000080,2023-12-01,C0031,Product defective,"The product is broken.
This should not happen.
What are my options?
Also: broken.

Sent from my Android device",The product is broken. This should not happen. What are my options? Also: broken. Sent from my Android device,Kvalitātes problēmas
T000144,2023-12-08,C0003,Not working as expected,"The product is broken.<br>This should not happen.<br>What are my options?<br><br><br><br>--<br>NordTech Customer

Order number: 100838",The product is broken.This should not happen.What are my options?--NordTech Customer Order number: 100838,Kvalitātes problēmas
T000302,2023-12-19,C0008,Refund for my purchase,"I want to return this product.<br>It is not working.<br>I need my money back.<br><br>Sent from my Android device

My order #101131.",I want to return this product.It is not working.I need my money back.Sent from my Android device My order #101131.,Naudas atgriešana
T000021,2023-11-24,C0238,Tracking shows no updates,"My delivery is delayed.<br>Tracking shows no updates.<br>Please update me.<br>Also: courier.<br><br>Sent from my Android device

My order #100393.",My delivery is delayed.Tracking shows no updates.Please update me.Also: courier.Sent from my Android device My order #100393.,Piegādes jautājumi
